product_id,product_category_name
1e9e8ef04dbcff4541ed26657ea517e5,Perfumaria
3aa071139cb16b67ca9e5dea641aaa2f,Artes
96bd76ec8810374ed1b65e291975717f,Esporte Lazer
cef67bcfe19066a932b7673e239eb23d,Bebes
9dc1a7de274444849c219cff195d0b71,Utilidades Domesticas
41d3672d4792049fa1779bb35283ed13,Instrumentos Musicais
732bd381ad09e530fe0a5f457d81becb,Cool Stuff
2548af3e6e77a690cf3eb6368e9ab61e,Moveis Decoracao
37cc742be07708b53a98702e77a21a02,Eletrodomesticos
8c92109888e8cdf9d66dc7e463025574,Brinquedos
14aa47b7fe5c25522b47b4b29c98dcb9,Cama Mesa Banho
03b63c5fc16691530586ae020c345514,Bebes
cf55509ea8edaaac1d28fdb16e48fc22,Instrumentos Musicais
7bb6f29c2be57716194f96496660c7c2,Moveis Decoracao
eb31436580a610f202c859463d8c7415,Construcao Ferramentas Seguranca
3bb7f144022e6732727d8d838a7b13b3,Esporte Lazer
6a2fb4dd53d2cdb88e0432f1284a004c,Perfumaria
a1b71017a84f92fd8da4aeefba108a24,Informatica Acessorios
a0736b92e52f6cead290e30b578413b6,Moveis Decoracao
f53103a77d9cf245e579ea37e5ec51f0,Cama Mesa Banho
1c1890ba1779090cd54008a3c3302921,Moveis Decoracao
518ef5de2c2b3a255e326a4594ba15d9,Cama Mesa Banho
e3e020af31d4d89d2602272b315c3f6e,Beleza Saude
8b41fbc2b984a12030090112324d1bc4,Bebes
d03bd02af9fff4b98f1c972315e5e9ef,Moveis Decoracao
8ba4f2a4ae695d26e5626c1bf710975e,Utilidades Domesticas
f6574524b07d5bb753bab6f35abe2d06,Malas Acessorios
c78b767da00efb70c1bcccab87c28cd5,Informatica Acessorios
a0253d43394dd4da9a5d7b1f546f1a32,Informatica Acessorios
051b9ff13dd55c0a6655a15ff296f80d,Esporte Lazer
47859fca9dd7485cbd93c3e8993bb74f,Cama Mesa Banho
e1d1d22e9f8122a4ec1533b032c12562,Ferramentas Jardim
20e37962088a4061d3578def47a8648b,Moveis Decoracao
1eba879220bd0981a0e2fbab499ed4e1,Moveis Escritorio
ce5b91848b91118daffb3af53b747475,Esporte Lazer
5370b82a213393979691c98074265584,Bebes
b8dac5113b06a97e64943234522572b9,Automotivo
750cf819d127191920eda79a4b6fb479,Eletronicos
e6af694343b45b56304ad91974a110b9,Utilidades Domesticas
680874c570dad71c0a2844cfbf417054,Moveis Decoracao
8b3a9476f74f5297f7ff0ec6d95fe1ea,Moveis Decoracao
1c6fb703c624b381a20f21f757694866,Brinquedos
db46052aed7dff59ba38cf2fe29b87f9,Cama Mesa Banho
b864b103180d5a6a3f830e67f93e8735,Bebes
7a8dac4aaa16bc642e4df33adcf03303,Cool Stuff
83b9bc6aae6f527ff6aafb9e01d6cbf3,Brinquedos
